35;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00005;SUNSTAR;KM-350B-7S;80207614;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
36;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00006;SUNSTAR;KM-350B-7S;71014053;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
37;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00007;SUNSTAR;KM-350B-7S;71014010;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
38;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00008;SUNSTAR;KM-350B-7S;80207592;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
39;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00009;SUNSTAR;KM-350B-7S;80207589;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
40;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00010;SUNSTAR;KM-350B-7S;80207653;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
41;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00011;SUNSTAR;KM-350B-7S;80207564;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
42;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00012;SUNSTAR;KM-350B-7S;71014046;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
43;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00013;SUNSTAR;KM-350B-7S;71013550;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
44;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00014;SUNSTAR;KM-350B-7S;71016702;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
45;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00015;SUNSTAR;KM-350B-7S;80207585;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
46;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00016;SUNSTAR;KM-350B-7S;80207632;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
47;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00017;SUNSTAR;KM-350B-7S;71013545;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
48;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00018;SUNSTAR;KM-350B-7S;71014055;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
49;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00019;SUNSTAR;KM-350B-7S;80207636;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
50;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00020;SUNSTAR;KM-350B-7S;41101685;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
51;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00021;SUNSTAR;KM-350B-7S;71014050;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
52;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00022;SUNSTAR;KM-350B-7S;80207630;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
53;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00023;SUNSTAR;KM-350B-7S;80908420;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
54;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00024;SUNSTAR;KM-350B-7S;10F10775;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
55;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00025;SUNSTAR;KM-350B-7S;80207606;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
56;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00026;SUNSTAR;KM-350B-7S;91105960;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
57;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00027;SUNSTAR;KM-350B-7S;71016692;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
58;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00028;SUNSTAR;KM-350B-7S;41102757;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
59;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00029;SUNSTAR;KM-350B-7S;10D06181;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
60;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00030;SUNSTAR;KM-350B-7S;71014021;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
61;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00031;SUNSTAR;KM-350B-7S;71014035;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
62;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00032;SUNSTAR;KM-350B-7S;71014008;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
63;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00033;SUNSTAR;KM-350B-7S;80207652;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
64;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00034;SUNSTAR;KM-350B-7S;10F10776;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
65;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00035;SUNSTAR;KM-350B-7S;10DO6187;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
66;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00036;SUNSTAR;KM-350B-7S;80207571;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
67;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00037;SUNSTAR;KM-350B-7S;80207638;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
68;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00038;SUNSTAR;KM-350B-7S;71014031;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
69;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00039;SUNSTAR;KM-350B-7S;71014051;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
70;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00040;SUNSTAR;KM-350B-7S;80207611;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
71;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00041;SUNSTAR;KM-350B-7S;71016695;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
72;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00042;SUNSTAR;KM-350B-7S;81103574;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
73;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00043;SUNSTAR;KM-350B-7S;80207625;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
74;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00044;SUNSTAR;KM-350B-7S;80207570;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
75;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00045;SUNSTAR;KM-350B-7S;71014017;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
76;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00046;SUNSTAR;KM-350B-7S;80207583;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
77;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00047;SUNSTAR;KM-350B-7S;71014023;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
78;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00048;SUNSTAR;KM-350B-7S;80207644;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
79;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00049;SUNSTAR;KM-350B-7S;80109069;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
80;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00050;SUNSTAR;KM-350B-7S;71014045;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
81;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00051;SUNSTAR;KM-350B-7S;80207595;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
82;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00052;SUNSTAR;KM-350B-7S;71014022;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
83;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00053;SUNSTAR;KM-350B-7S;71014013;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
84;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00054;SUNSTAR;KM-350B-7S;80207622;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
85;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00055;SUNSTAR;KM-350B-7S;91105959;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
86;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00056;SUNSTAR;KM-350B-7S;80109073;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
87;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00057;SUNSTAR;KM-350B-7S;71013072;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
88;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00058;SUNSTAR;KM-350B-7S;10F10779;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
89;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00059;SUNSTAR;KM-350B-7S;81103579;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
90;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00060;SUNSTAR;KM-350B-7S;80207598;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
91;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00061;SUNSTAR;KM-350B-7S;10D06184;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
92;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00062;SUNSTAR;KM-350B-7S;71014014;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
93;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00063;SUNSTAR;KM-350B-7S;71013543;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
94;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00064;SUNSTAR;KM-350B-7S;71013546;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
95;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00065;SUNSTAR;KM-350B-7S;71016696;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
96;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00066;SUNSTAR;KM-350B-7S;71014039;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
97;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00067;SUNSTAR;KM-350B-7S;71014043;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
98;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00068;SUNSTAR;KM-350B-7S;80207627;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
99;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00069;SUNSTAR;KM-350B-7S;71014025;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
100;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00070;SUNSTAR;KM-350B-7S;80207640;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
101;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00071;SUNSTAR;KM-350B-7S;10D06177;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
102;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00072;SUNSTAR;KM-350B-7S;71013553;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
103;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00073;SUNSTAR;KM-350B-7S;80207567;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
104;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00074;JUKI;DLN-9010A-SH;2D3DE00126;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
105;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00075;JUKI;DLN-9010A-SH;2D3EF00190;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
106;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00076;JUKI;DLN-9010A-SH;2D3ED00022;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
107;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00077;JUKI;DLN-9010A-SH;2D3EB00172;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
108;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00078;JUKI;DLN-9010A-SH;2D3EE00264;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
109;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00079;JUKI;DLN-9010A-SH;2D3EF00200;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
110;1-Needle sewing machine;1-Needle sewing machine;26;;22-4-00080;JUKI;DLN-9010A-SH;2D3EF00091;0;2013-12-18 00:00:00;PRO;;;2015-12-31 00:00:00
